This is a full list of config-variables changed by actions. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:0_AID:40579=projsellock 	 - INT: 88  - DOUBLE: -2.0
Sec:0_AID:40579=projsellock 	 - INT: 24  - DOUBLE: -2.0
Sec:0_AID:40579=projsellock 	 - INT: 88  - DOUBLE: -2.0
Sec:0_AID:40582=projsellock 	 - INT: 216  - DOUBLE: -2.0
Sec:0_AID:40582=projsellock 	 - INT: 88  - DOUBLE: -2.0
Sec:0_AID:40582=projsellock 	 - INT: 216  - DOUBLE: -2.0
Sec:0_AID:40585=projsellock 	 - INT: 220  - DOUBLE: -2.0
Sec:0_AID:40585=projsellock 	 - INT: 216  - DOUBLE: -2.0
Sec:0_AID:40585=projsellock 	 - INT: 220  - DOUBLE: -2.0
Sec:0_AID:40588=projsellock 	 - INT: 204  - DOUBLE: -2.0
Sec:0_AID:40588=projsellock 	 - INT: 220  - DOUBLE: -2.0
Sec:0_AID:40588=projsellock 	 - INT: 204  - DOUBLE: -2.0
Sec:0_AID:40591=projsellock 	 - INT: 196  - DOUBLE: -2.0
Sec:0_AID:40591=projsellock 	 - INT: 204  - DOUBLE: -2.0
Sec:0_AID:40591=projsellock 	 - INT: 196  - DOUBLE: -2.0
Sec:0_AID:40594=projsellock 	 - INT: 228  - DOUBLE: -2.0
Sec:0_AID:40594=projsellock 	 - INT: 196  - DOUBLE: -2.0
Sec:0_AID:40594=projsellock 	 - INT: 228  - DOUBLE: -2.0
Sec:0_AID:40597=projsellock 	 - INT: 484  - DOUBLE: -2.0
Sec:0_AID:40597=projsellock 	 - INT: 228  - DOUBLE: -2.0
Sec:0_AID:40597=projsellock 	 - INT: 484  - DOUBLE: -2.0
Sec:0_AID:40600=projsellock 	 - INT: 996  - DOUBLE: -2.0
Sec:0_AID:40600=projsellock 	 - INT: 484  - DOUBLE: -2.0
Sec:0_AID:40600=projsellock 	 - INT: 996  - DOUBLE: -2.0
Sec:0_AID:40620=projsmptesync 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40620=projsmptesync 	 - INT: 22  - DOUBLE: -2.0
Sec:0_AID:40620=projsmptesync 	 - INT: 23  - DOUBLE: -2.0
Sec:0_AID:40621=locklooptotime 	 - INT: -2  - DOUBLE: -2.0
Sec:0_AID:40621=locklooptotime 	 - INT: -1  - DOUBLE: -2.0
Sec:0_AID:40621=locklooptotime 	 - INT: -2  - DOUBLE: -2.0
